Date,Time,Rating,Lowest,2nd-Lowest,3rd-Lowest,Average
14.08.2023,13:03,84.0,2500.0,2700.0,2900.0,2890.0
14.08.2023,13:03,86.0,6500.0,6600.0,6700.0,6730.0
14.08.2023,13:03,89.0,12000.0,12000.0,12000.0,12280.0
14.08.2023,13:04,84.0,2500.0,2700.0,2900.0,2890.0
14.08.2023,13:04,86.0,6500.0,6600.0,6700.0,6730.0
14.08.2023,13:04,89.0,12000.0,12000.0,12000.0,12280.0
14.08.2023,13:17,84.0,2000.0,2900.0,3000.0,2900.0
14.08.2023,13:17,86.0,6500.0,6500.0,6600.0,6650.0
14.08.2023,13:17,89.0,12000.0,12000.0,12000.0,12360.0
14.08.2023,13:19,84.0,2000.0,2900.0,3000.0,2900.0
14.08.2023,13:19,86.0,6500.0,6500.0,6600.0,6650.0
14.08.2023,13:19,89.0,12000.0,12000.0,12000.0,12360.0
